代码,名称,现价,总股本,流通A股,第一流通股东,第一流通股东股本,百份比,股东性质
600277,亿利能源,14.32,90193.5,26070.0,亿利资源集团有限公司,12750.1,14.136,境内法人股
600278,东方创业,10.4,40172.441,32000.0,东方国际(集团)有限公司,20925.3,65.392,国有股
600279,重庆港九,10.18,34209.226,15073.802,重庆港务物流集团有限公司,1546.48,4.521,国有股
600280,南京中商,26.96,14354.186,12753.653,江苏地华实业集团有限公司,4232.9,29.489,境内法人股
600281,*ST太化,9.59,51440.202,51440.202,太原化学工业集团有限公司,26140.8,50.818,国有股
600282,南钢股份,4.01,387575.246,168480.0,南京钢铁联合有限公司,105612.0,27.249,境内法人股
600283,钱江水利,15.51,28533.0,21257.908,浙江省水利水电投资集团有限公司,4910.57,17.21,国有股
600284,浦东建设,16.37,34600.0,34600.0,上海浦东发展(集团)有限公司,7834.25,22.642,国有股
600285,羚锐制药,12.95,20072.0,20072.0,信阳羚锐发展有限公司,1895.47,9.443,国有股
600287,江苏舜天,9.23,43679.607,43679.607,江苏舜天国际集团有限公司,22026.4,50.427,国有股
600288,大恒科技,10.13,43680.0,43680.0,中国新纪元有限公司,15080.0,34.524,境内法人股
600289,亿阳信通,8.94,57757.713,56315.363,亿阳集团股份有限公司,11297.1,20.06,境内法人股
600290,华仪电气,14.42,52688.366,41103.0,华仪电器集团有限公司,12521.0,35.646,境内法人股
600291,西水股份,12.46,38400.0,38400.0,北京新天地互动多媒体技术有限公司,5609.6,14.608,境内法人股
600292,九龙电力,15.5,33450.0,33450.0,中国电力投资集团公司,10241.2,30.617,国有股
600293,三峡新材,13.11,34450.26,34450.26,当阳市国有资产管理局,4274.9,12.409,国有股
600295,鄂尔多斯,19.29,103200.0,29520.0,内蒙古鄂尔多斯羊绒集团有限责任公司,10320.0,10.0,国有股
600297,美罗药业,9.35,35000.0,35000.0,美罗集团有限公司,12026.5,34.361,境内法人股
600298,安琪酵母,33.2,30604.658,27140.0,湖北安琪生物集团有限公司,12976.2,42.399,国有股
600299,*ST新材,12.72,52270.756,52270.756,中国蓝星（集团）股份有限公司,28204.5,53.959,国有股
600300,维维股份,5.15,167200.0,167200.0,维维集团股份有限公司,51379.6,30.729,境内法人股
600301,*ST南化,7.15,23514.814,23514.814,南宁化工集团有限公司,7524.81,32.0,国有股
600302,标准股份,7.82,34600.98,34600.98,中国标准工业集团有限公司,16300.7,47.111,国有股
